created_at,updated_at,clickability_test_id,headline,slug,impressions,clicks,significance,first_place,winner,test_week,CTR
2013-07-30 18:02:51.878,2016-04-02 16:27:17.988,51f7ff08f114bc18ba007025,Her Dad Thinks Being Gay Was Her Choice. The Words She Said Back? Couldn't Have Chosen Them Better.,her-dad-thinks-being-gay-was-her-choice-the-words-she-said-back-couldnt-have-chosen-them-better-5,2470,453,100.0,True,False,201330,0.1834008097165992
2013-07-15 07:26:41.342,2016-04-02 16:27:11.306,51e3a344be1e2cdda3002a74,"In Case You Missed It, Here's What The Trayvon Martin Case Was About (Aside From Attempted Justice)",in-case-you-missed-it-heres-what-the-trayvon-martin-case-was-about-aside-from-attempted-justice-3,11,2,0.0,False,False,201328,0.18181818181818182
2015-04-20 19:33:26.260,2016-04-02 16:32:25.329,5535537b646339001c260000,Canceling out the harmful effects of sitting is easier than you think.,canceling-out-the-harmful-effects-of-sitting-is-easier-than-you-think-pg2-5g,1948,350,1.7,False,False,201516,0.17967145790554415
2013-08-07 15:34:57.052,2016-04-02 16:27:21.534,520268fddb7593ebfb0092ff,"If This Reality Is So Obvious To Kids, Why Can't Adults Act On It?",if-this-reality-is-so-obvious-to-kids-why-cant-adults-act-on-it-1111115,18,3,0.0,False,False,201331,0.16666666666666666
2013-09-02 20:14:36.616,2016-04-02 16:27:32.989,5224f18861202c84890000e9,What Can Happen In A Flash Of A Second? He Stuck Around To Find Out.,what-can-happen-in-a-flash-of-a-second-he-stuck-around-to-find-out-2,6,1,0.0,False,False,201335,0.16666666666666666
2013-07-30 18:01:54.890,2016-04-02 16:27:17.981,51f7ff08f114bc18ba007025,Her Dad Thinks Being Gay Was Her Choice. The Words She Said Back? Couldn't Have Chosen Them Better.,her-dad-thinks-being-gay-was-her-choice-the-words-she-said-back-couldnt-have-chosen-them-better-2,2934,458,2.5,False,False,201330,0.15610088616223586
2013-09-09 21:27:01.378,2016-04-02 16:27:36.577,522e350a7799c66866000dd5,A Boy Makes Anti-Muslim Comments In Front Of An American Soldier. The Soldiers Reply = Priceless.,a-boy-makes-anti-muslim-comments-in-front-of-an-american-soldier-the-soldiers-reply-priceless-4,2713,404,100.0,True,False,201336,0.1489126428308146
2013-07-31 22:03:12.162,2016-04-02 16:27:18.982,51f9887485c659d650000058,Some Geek Boys Called These Geek Girls 'Fake.' They Certainly Won't Be Making That Mistake Again. ,some-geek-boys-called-these-geek-girls-fake-they-certainly-wont-be-making-that-mistake-again,2111,299,100.0,True,False,201330,0.14163903363334912
2013-07-29 19:38:50.321,2016-04-02 16:27:17.441,51f6c3bab7a5dfeb3c0006e6,A Celebrity Couple Are Hounded By Paparazzi As They Walk Down The Street. They Respond Wonderfully.,a-celebrity-couple-are-hounded-by-paparazzi-as-they-walk-down-the-street-they-respond-wonderfully-3,1717,240,0.0,False,False,201330,0.13977868375072802
2013-07-08 22:05:58.504,2016-04-02 16:27:08.788,51db378f9d66b14ece00055b,Dustin Hoffman Breaks Down Crying Explaining Something That Every Woman Sadly Already Experienced,dustin-hoffman-breaks-down-crying-explaining-something-that-every-woman-sadly-already-experienced-am2-f,3650,499,100.0,True,True,201327,0.13671232876712328
